Name, Rate, Phone Numbers that Start With, 
Cameroon,0.237,"237337, 237339, 237340, 237341, 237342, 237343, 237347"
Cameroon,0.342,"237, 237223"
Cameroon,0.378,"2374, 2375, 2376, 2377, 2378, 2379, 237225"
Canada,0.299,1867
"Cape Verde",0.435,"238, 2389"
"Cayman Islands",0.129,1345
"Cayman Islands",0.276,"134523, 134524, 134525, 134526, 134527, 134528, 134529, 134532, 1345229, 1345235, 1345249, 1345320, 1345514, 1345516, 1345517, 1345525, 1345526, 1345527, 1345529, 1345545, 1345546, 1345547, 1345548, 1345549, 1345616, 1345617, 1345623, 1345625, 1345626, 1345629, 1345630, 1345640, 1345645, 1345646, 1345647, 1345649, 1345663, 1345849, 1345916, 1345917, 1345919, 1345922, 1345923, 1345924, 1345925, 1345926, 1345927, 1345928, 1345929, 1345936, 1345937, 1345938, 1345939, 1345948, 1345990"
"Central Africa",0.640,"236, 23670, 23672, 23675, 23677"
Chad,0.481,"235, 2353, 2356, 2357, 2359, 23524, 23525"
Chile,0.047,"56, 562"
Chile,0.115,"5611, 5615, 5632, 5667, 56219, 56700, 562917, 563019, 563119, 563221, 563225, 563319, 563419, 563519, 563619, 563719, 563819, 563919, 564019, 564119, 564219, 564319, 564419, 564519, 564619, 564719, 564819, 564919, 565019, 565119, 565219, 565319, 565419, 565519, 565619, 565719, 565819, 565919, 566019, 566119, 566219, 566319, 566419, 566519, 566619, 566719, 566819, 566919, 567019, 567119, 567219, 567319, 567419, 567519, 567619, 567719, 567819, 567919"
Chile,0.339,"569, 5688"
Chile,0.760,"5644, 56612, 56613, 56614, 56615, 56616, 56617, 56618, 56619, 562196, 562197, 562198, 562572, 562593, 562788, 562868, 5632196, 5632197, 5632198, 5632210, 5632255, 5633196, 5633197, 5633198, 5634196, 5634197, 5634198, 5635196, 5635197, 5635198, 5641196, 5641197, 5641198, 5642196, 5642197, 5642198, 5643196, 5643197, 5643198, 5645196, 5645197, 5645198, 5651196, 5651197, 5651198, 5652196, 5652197, 5652198, 5653196, 5653197, 5653198, 5655196, 5655197, 5655198, 5657196, 5657197, 5657198, 5658196, 5658197, 5658198, 5661196, 5661197, 5661198, 5663196, 5663197, 5663198, 5664196, 5664197, 5664198, 5665196, 5665197, 5665198, 5667196, 5667197, 5667198, 5671196, 5671197, 5671198, 5672196, 5672197, 5672198, 5673196, 5673197, 5673198, 5675196, 5675197, 5675198"
China,0.030,"86, 8610, 8613, 8615, 8621, 86150, 86151, 86152, 86153, 86155, 86156, 86157, 86158, 86159, 86188, 86189, 86591"
Colombia,0.055,"5712, 5713, 5714, 5715, 5716, 5717, 5723, 5724, 5725, 5726, 5742, 5743, 5744, 5745, 57288, 57289, 57532, 57533, 57534, 57535, 57536, 57537"
Colombia,0.078,"57, 57227, 57228, 57538, 57565, 57566, 57567, 57631, 57632, 57633, 57634, 57635, 57680, 57687, 57688, 57763, 57764, 57765, 57767, 57768, 575680, 575681, 576736, 576737, 576738, 576739, 576740, 576741, 576744, 576745, 576746, 576747, 576748, 576749, 576897, 576898, 576899, 577616, 577617, 5763515, 5763516, 5776907, 5776908, 5776909, 5776913, 5776914"
Colombia,0.185,"573, 57300, 57301, 57302, 57304, 57310, 57311, 57312, 57313, 57314, 57315, 57316, 57317, 57318, 57320, 57321, 57350"
Comoros,0.885,"269, 2693, 2696, 2697, 26920, 26921, 26922, 26923, 26924, 26925, 26927, 26928, 26929, 26965, 26966, 26967, 26968, 26969"
Congo,0.316,"242, 2424, 2425, 2426, 2427"
"Congo, Dem Rep",0.483,"243, 2438, 2439, 24368, 24378, 24381, 24382, 24384, 24385, 24389, 24397, 24398, 24399"
"Costa Rica",0.094,"506, 5061, 5063, 5068, 506283, 506284, 506712"
Croatia,0.062,385
Croatia,0.369,"3859, 38560, 38561, 38562, 38576, 38577, 38591, 38592, 38595, 38597, 38598, 38599, 385800"
Cyprus,0.054,357
Cyprus,0.099,"3577, 3579, 35796, 357976, 357977, 357990, 357991, 357992, 357993, 357994, 357995, 357996, 357998, 357999, 3579971, 3579974, 3579975, 3579976, 3579977, 3579978, 3579979"
"Czech Republic",0.054,"420, 4202"
"Czech Republic",0.386,"4206, 4207, 4209, 42072, 42073, 42077, 42079, 42093, 420601, 420602, 420603, 420604, 420605, 420606, 420607, 420608, 420961, 420962, 420963, 420964, 420965, 420966, 420967"
Denmark,0.020,"45, 453"
Denmark,0.100,"45532, 45534, 455330, 455331, 455332, 455334, 455335, 455336, 455337, 455338, 455339"
Denmark,0.100,"455370, 455371, 455372, 455373, 455374, 455375"
Denmark,0.100,"4552, 4580, 4590, 45420, 45421, 45422, 45423, 45424, 45425, 45521, 45522, 45523, 45524, 45531, 45535, 45536, 45539, 45922, 454260, 454270, 454280, 455319"
